Name,CR,Size,HP,AC,Base Speed,Fly Speed,Burrow Speed,Swim Speed,Climb Speed,Number of Skills,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Saving Throw Bonus,Passive Perception,"Truesight (0 if none, else range in ft.)","Darkvision (0 if none, else range in ft.)","Blindsight (0 if none, else range in ft.)","Tremorsense (0 if none, else range in ft.)",Number Of Passive Abilities,Number of Actions,Max. Attack Bonus,Max. Damage Roll,Spellcasting,Number of Spells Known,Max. Spell Level,Spell Save DC,Spoken Languages,"Telepathy (0 if none, else range in ft.)",Number of Legendary Actions,Number of Legendary Saves,Weaknesses,Damage Immunities,Number of Immunities,Resistances,Number of Resistances,Condition Immunities
Pit Fiend,23,Large,300,19,30,60,0,0,0,0,26,14,24,22,18,24,"Dex, Con, Wis",6,14,120,0,0,0,4,5,14,38,Yes,4,5,21,Infernal,120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks",2,Poisoned
Spined Devil,5,Small,22,13,20,40,0,0,0,0,10,15,12,11,14,8,None,0,12,0,120,0,0,4,4,2,12,No,0,0,0,Infernal,120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks",2,Poisoned
Allosaurus,5,Large,51,13,60,0,0,0,0,1,19,13,17,2,12,5,None,0,15,0,0,0,0,1,2,6,24,No,0,0,0,None,0,0,0,None,,0,,0,None
Ankylosaurus,6,Huge,68,15,30,0,0,0,0,0,19,11,15,2,12,5,None,0,11,0,0,0,0,0,1,7,22,No,0,0,0,None,0,0,0,None,,0,,0,None
Plesiosaurus,5,Large,68,13,20,40,0,0,0,2,18,15,16,2,12,5,None,0,13,0,0,0,0,1,1,6,22,No,0,0,0,None,0,0,0,None,,0,,0,None
Pteranodon,2,Medium,13,13,10,60,0,0,0,1,12,15,10,2,9,5,None,0,11,0,0,0,0,1,1,3,9,No,0,0,0,None,0,0,0,None,,0,,0,None
Triceratops,8,Huge,95,13,50,0,0,0,0,0,22,9,17,2,11,5,None,0,10,0,0,0,0,1,2,9,36,No,0,0,0,None,0,0,0,None,,0,,0,None
Tyrannosaurus Rex,11,Huge,136,13,50,0,0,0,0,1,25,10,19,2,12,9,None,0,14,0,0,0,0,0,3,10,55,No,0,0,0,None,0,0,0,None,,0,,0,None
Displacer Beast,6,Large,85,13,40,0,0,0,0,0,18,15,16,6,12,8,None,0,11,0,60,0,0,2,2,6,16,No,0,0,0,None,0,0,0,None,,0,,0,None
Doppleganger,6,Medium,52,14,30,0,0,0,0,2,11,18,14,11,12,14,None,0,11,0,60,0,0,3,3,6,10,No,0,0,0,Common,0,0,0,None,,0,,0,Charmed
Adult Blue Dracolich,20,Huge,225,19,40,80,30,0,0,2,25,10,23,16,15,19,"Dex, Con, Wis, Cha",5,22,0,120,60,0,2,6,12,37,No,0,0,0,"Common, Draconic",0,3,3,None,"Lightning, Poison",2,Necrotic,1,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned"
Young Red Shadow Dragon,16,Large,178,18,40,80,0,0,40,2,23,10,21,14,11,19,"Dex, Con, Wis, Cha",4,18,0,120,30,0,3,4,10,32,No,0,0,0,"Common, Draconic",0,0,0,None,Fire,1,Necrotic,1,None
Ancient Black Dragon,24,Gargantuan,367,22,40,80,0,40,0,2,27,14,25,16,15,19,"Dex, Con, Wis, Cha",7,26,0,120,60,0,2,6,15,44,No,0,0,0,"Common, Draconic",0,3,3,None,Acid,1,,0,None
Adult Black Dragon,17,Huge,195,19,40,80,0,40,0,2,23,14,21,14,13,17,"Dex, Con, Wis, Cha",5,21,0,120,60,0,2,6,11,34,No,0,0,0,"Common, Draconic",0,3,3,None,Acid,1,,0,None
Young Black Dragon,10,Large,127,18,40,80,0,40,0,2,19,14,17,12,11,15,"Dex, Con, Wis, Cha",3,16,0,120,30,0,1,4,7,32,No,0,0,0,"Common, Draconic",0,0,0,None,Acid,1,,0,None
Black Dragon Wyrmling,5,Medium,33,17,30,60,0,30,0,2,15,14,13,10,11,13,"Dex, Con, Wis, Cha",2,14,0,60,10,0,1,2,4,16,No,0,0,0,Draconic,0,0,0,None,Acid,1,,0,None
Ancient Blue Dragon,26,Gargantuan,481,22,40,80,40,0,0,2,29,10,27,18,17,21,"Dex, Con, Wis, Cha",7,27,0,120,60,0,1,6,16,49,No,0,0,0,"Common, Draconic",0,3,3,None,Lightning,1,,0,None
Adult Blue Dragon,19,Huge,225,19,40,80,30,0,0,2,25,10,23,16,15,19,"Dex, Con, Wis, Cha",5,22,0,120,60,0,1,6,12,37,No,0,0,0,"Common, Draconic",0,3,3,None,Lightning,1,,0,None
Young Blue Dragon,12,Large,152,18,30,80,20,0,0,2,21,10,19,14,13,17,"Dex, Con, Wis, Cha",4,19,0,120,30,0,0,4,9,35,No,0,0,0,"Common, Draconic",0,0,0,None,Lightning,1,,0,None
Blue Dragon Wyrmling,6,Medium,52,17,30,60,15,0,0,2,17,10,15,12,11,15,"Dex, Con, Wis, Cha",2,14,0,60,10,0,0,2,5,19,No,0,0,0,Draconic,0,0,0,None,Lightning,1,,0,None
Ancient Green Dragon,25,Gargantuan,385,21,40,80,0,40,0,5,27,12,25,20,17,19,"Dex, Con, Wis, Cha",7,27,0,120,60,0,2,6,15,46,No,0,0,0,"Common, Draconic",0,3,3,None,Poison,1,,0,Poisoned
Adult Green Dragon,18,Huge,207,19,40,80,0,40,0,5,23,12,21,18,15,17,"Dex, Con, Wis, Cha",5,22,0,120,60,0,2,6,11,38,No,0,0,0,"Common, Draconic",0,3,3,None,Poison,1,,0,Poisoned
Young Green Dragon,11,Large,136,18,40,80,0,40,0,3,19,12,17,16,13,15,"Dex, Con, Wis, Cha",3,17,0,120,30,0,1,4,7,36,No,0,0,0,"Common, Draconic",0,0,0,None,Poison,1,,0,Poisoned
Green Dragon Wyrmling,5,Medium,38,17,30,60,0,30,0,2,15,12,13,14,11,13,"Dex, Con, Wis, Cha",2,14,0,60,10,0,1,2,4,18,No,0,0,0,Draconic,0,0,0,None,Poison,1,,0,Poisoned
Ancient Red Dragon,27,Gargantuan,546,22,40,80,0,0,40,2,30,10,29,18,15,23,"Dex, Con, Wis, Cha",7,26,0,120,60,0,1,6,17,54,No,0,0,0,"Common, Draconic",0,3,3,None,Fire,1,,0,None
Adult Red Dragon,22,Huge,256,19,40,80,0,0,40,2,27,10,25,16,13,21,"Dex, Con, Wis, Cha",6,23,0,120,60,0,1,6,13,40,No,0,0,0,"Common, Draconic",0,3,3,None,Fire,1,,0,None
Young Red Dragon,13,Large,178,18,40,80,0,0,40,2,23,10,21,14,11,19,"Dex, Con, Wis, Cha",4,18,0,120,30,0,0,4,10,32,No,0,0,0,"Common, Draconic",0,0,0,None,Fire,1,,0,None
Red Dragon Wyrmling,7,Medium,75,17,30,60,0,0,30,2,19,10,17,12,11,15,"Dex, Con, Wis, Cha",2,14,0,60,10,0,0,2,6,20,No,0,0,0,Draconic,0,0,0,None,Fire,1,,0,None
Ancient White Dragon,23,Gargantuan,333,20,40,80,40,40,0,2,26,10,26,10,13,14,"Dex, Con, Wis, Cha",6,23,0,120,60,0,2,6,14,44,No,0,0,0,"Common, Draconic",0,3,3,None,Cold,1,,0,None
Adult White Dragon,16,Huge,200,18,40,80,30,40,0,2,22,10,22,8,12,12,"Dex, Con, Wis, Cha",5,21,0,120,60,0,2,6,11,34,No,0,0,0,"Common, Draconic",0,3,3,None,Cold,1,,0,None
Young White Dragon,9,Large,133,17,40,80,20,40,0,2,18,10,18,6,11,12,"Dex, Con, Wis, Cha",3,16,0,120,30,0,1,4,7,32,No,0,0,0,"Common, Draconic",0,0,0,None,Cold,1,,0,None
White Dragon Wyrmling,5,Medium,32,16,30,60,15,30,0,2,14,10,14,5,10,11,"Dex, Con, Wis, Cha",2,14,0,60,10,0,0,2,4,16,No,0,0,0,Draconic,0,0,0,None,Cold,1,,0,None
Ancient Brass Dragon,23,Gargantuan,297,20,40,80,40,0,0,4,27,10,25,16,15,19,"Dex, Con, Wis, Cha",6,24,0,120,60,0,1,7,14,28,No,0,0,0,"Common, Draconic",0,3,3,None,Fire,1,,0,None
Adult Brass Dragon,16,Huge,172,18,40,80,30,0,0,4,23,10,21,14,13,17,"Dex, Con, Wis, Cha",5,21,0,120,60,0,1,6,11,26,No,0,0,0,"Common, Draconic",0,3,3,None,Fire,1,,0,None
Young Brass Dragon,9,Large,110,17,40,80,20,0,0,3,19,10,17,12,11,15,"Dex, Con, Wis, Cha",5,20,0,120,30,0,0,5,9,24,No,0,0,0,"Common, Draconic",0,0,0,None,Fire,1,,0,None
Brass Dragon Wyrmling,4,Medium,16,16,30,60,15,0,0,2,15,10,13,10,11,13,"Dex, Con, Wis, Cha",2,14,0,60,10,0,0,2,4,12,No,0,0,0,Draconic,0,0,0,None,Fire,1,,0,None
Ancient Bronze Dragon,25,Gargantuan,444,22,40,80,0,40,0,3,29,10,27,18,17,21,"Dex, Con, Wis, Cha",7,27,0,120,60,0,2,7,16,29,No,0,0,0,"Common, Draconic",0,3,3,None,Lightning,1,,0,None
Adult Bronze Dragon,18,Huge,212,19,40,80,0,40,0,3,25,10,23,16,15,19,"Dex, Con, Wis, Cha",5,22,0,120,60,0,2,7,12,27,No,0,0,0,"Common, Draconic",0,3,3,None,Lightning,1,,0,None
Young Bronze Dragon,11,Large,142,18,40,80,0,40,0,3,21,10,19,14,13,17,"Dex, Con, Wis, Cha",3,17,0,120,30,0,1,4,8,25,No,0,0,0,"Common, Draconic",0,0,0,None,Lightning,1,,0,None
Bronze Dragon Wyrmling,5,Medium,32,17,30,60,0,30,0,2,17,10,15,12,11,15,"Dex, Con, Wis, Cha",2,14,0,60,10,0,1,2,5,13,No,0,0,0,Draconic,0,0,0,None,Lightning,1,,0,None
Ancient Copper Dragon,24,Gargantuan,350,21,40,80,0,0,40,3,27,12,25,20,17,19,"Dex, Con, Wis, Cha",7,27,0,120,60,0,1,7,15,28,No,0,0,0,"Common, Draconic",0,3,3,None,Acid,1,,0,None
Adult Copper Dragon,17,Huge,184,18,40,80,0,0,40,3,23,12,21,18,15,17,"Dex, Con, Wis, Cha",5,22,0,120,60,0,1,6,11,26,No,0,0,0,"Common, Draconic",0,3,3,None,Acid,1,,0,None
Young Copper Dragon,10,Large,119,17,40,80,0,0,40,3,19,12,17,16,13,15,"Dex, Con, Wis, Cha",3,17,0,120,30,0,0,4,7,24,No,0,0,0,"Common, Draconic",0,0,0,None,Acid,1,,0,None
Copper Dragon Wyrmling,4,Medium,22,16,30,60,0,0,30,2,15,12,13,14,11,13,"Dex, Con, Wis, Cha",2,14,0,60,10,0,0,2,4,12,No,0,0,0,Draconic,0,0,0,None,Acid,1,,0,None
Ancient Gold Dragon,27,Gargantuan,546,22,40,80,0,40,0,4,30,14,29,18,17,28,"Dex, Con, Wis, Cha",7,27,0,120,60,0,2,7,17,30,No,0,0,0,"Common, Draconic",0,3,3,None,Fire,1,,0,None
Adult Gold Dragon,20,Huge,256,19,40,80,0,40,0,4,27,14,25,16,15,24,"Dex, Con, Wis, Cha",6,24,0,120,60,0,2,7,14,28,No,0,0,0,"Common, Draconic",0,3,3,None,Fire,1,,0,None
Young Gold Dragon,13,Large,178,18,40,80,0,40,0,4,23,14,21,16,13,20,"Dex, Con, Wis, Cha",4,19,0,120,30,0,1,4,10,26,No,0,0,0,"Common, Draconic",0,0,0,None,Fire,1,,0,None
Gold Dragon Wyrmling,6,Medium,60,17,30,60,0,30,0,2,19,14,17,14,11,16,"Dex, Con, Wis, Cha",2,14,0,60,10,0,1,2,6,14,No,0,0,0,Draconic,0,0,0,None,Fire,1,,0,None
Ancient Silver Dragon,26,Gargantuan,487,22,40,80,0,0,0,4,30,10,29,18,15,23,"Dex, Con, Wis, Cha",7,26,0,120,60,0,1,7,17,30,No,0,0,0,"Common, Draconic",0,3,3,None,Cold,1,,0,None
Adult Silver Dragon,19,Huge,243,19,40,80,0,0,0,4,27,10,25,16,13,21,"Dex, Con, Wis, Cha",5,21,0,120,60,0,1,7,13,28,No,0,0,0,"Common, Draconic",0,3,3,None,Cold,1,,0,None
Young Silver Dragon,12,Large,168,18,40,80,0,0,0,4,23,10,21,14,11,19,"Dex, Con, Wis, Cha",4,18,0,120,30,0,0,4,10,26,No,0,0,0,"Common, Draconic",0,0,0,None,Cold,1,,0,None
Silver Dragon Wyrmling,5,Medium,45,17,30,60,0,0,0,2,19,10,17,12,11,15,"Dex, Con, Wis, Cha",2,14,0,60,10,0,0,2,6,14,No,0,0,0,Draconic,0,0,0,None,Cold,1,,0,None
Dragon Turtle,20,Gargantuan,341,20,20,0,0,40,0,0,25,10,20,10,12,12,"Dex, Con, Wis",5,11,0,120,0,0,1,5,12,43,No,0,0,0,"Aquan, Draconic",0,0,0,None,,0,Fire,1,None
